Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
06-Aug-13,7920.95,7933.6,7839.35,7877.15,21982484,1067.88
07-Aug-13,7876.35,7934.75,7738.15,7767.75,21385369,1025.37
08-Aug-13,7710.4,7816.4,7687,7801.45,14480742,829.57
12-Aug-13,7820.1,7874.95,7781.95,7841.45,13989664,938.67
13-Aug-13,7860.1,7989.25,7860.1,7976.25,12373892,1009.85
14-Aug-13,7971.9,8032.25,7874.1,7956.1,21212089,1182.45
16-Aug-13,7879.45,7910.4,7724.95,7774.2,24726275,1336.33
19-Aug-13,7811.85,7870.4,7708.75,7793.2,17324526,880.05
20-Aug-13,7828.2,7828.2,7677.85,7693.5,18087694,1092.1
21-Aug-13,7679.2,7679.2,7549.1,7594.05,18128173,1063.48
22-Aug-13,7614.85,7796.1,7563.25,7777.5,13972374,1134.47
23-Aug-13,7786.35,7902.5,7761.35,7893.2,16498774,1132.95
26-Aug-13,7908.6,8047.4,7893.85,7958.65,21726276,1033.64
27-Aug-13,7952.55,8073.9,7952.55,7975.8,13637709,874.9
28-Aug-13,7948.65,8222.65,7948.65,8175.3,14737602,1392.43
29-Aug-13,8110.05,8286.9,8083.9,8246.9,19542395,1907.4
30-Aug-13,8225.65,8406.65,8196,8382.4,33968989,1704.81
02-Sep-13,8325.85,8423.8,8325.85,8396.9,16502876,782.23
03-Sep-13,8380.65,8410.95,8226.25,8259.4,15423496,965.12
04-Sep-13,8293,8499.55,8293,8454.1,14231607,1057.25
05-Sep-13,8437.95,8437.95,8185.4,8203.4,21197274,1212.11
06-Sep-13,8224.65,8310.8,8172,8216.5,18316554,1203.79
10-Sep-13,8211.9,8443.75,8211.9,8411.05,17887312,1785.15
11-Sep-13,8421.3,8465.1,8360.9,8373.25,27137335,1321.82
12-Sep-13,8367.05,8381.45,8222.4,8270.15,28850933,1288.57
13-Sep-13,8257.85,8290,8152.9,8172.65,25786094,1302.99
16-Sep-13,8172.3,8212.6,8005.1,8017.2,17963989,1232.7
